siteName,taxonPercent,siteLatitude,siteLongitude,siteAltitude,siteID,depth,thickness,age,ageOld,ageYoung,ageType,age (Calander Years BP),chronologyID,taxonSum,pollenSum,countedInLevel,totalInLevel,datasetID,datasetType,collectionUnitType,precip1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmax1,tmean1,tmax2,tmin2,tmean2,tmax3,tmin3,tmean3,tmin4,tmax4,tmean4,tmin5,tmax5,tmean5,tmin6,tmax6,tmean6,tmin7,tmax7,tmean7,tmin8,tmax8,tmean8,tmin9,tmax9,tmean9,tmin10,tmax10,tmean10,tmin11,tmax11,tmean11,tmin12,tmax12,tmean12
Lake GB2,63.69327074,56.1,-75.283333,300,1554,22,,1355,,,Radiocarbon years BP,,678,407,639,20,31,1595,pollen,Core,23.30000114,16.60000038,20.39999962,21.10000038,30.89999962,49.90000153,78,96.40000153,103.2000046,79.80000305,63,37.20000076,-28.80999947,-19.43000031,-24.11999989,-19.40999985,-29.96999931,-24.68999958,-13.71000004,-25.45999908,-19.58499956,-15.77999973,-5.329999924,-10.55499983,-5.650000095,2.579999924,-1.535000086,0.319999993,9.68999958,5.004999787,5.239999771,14.54999924,9.894999504,5.71999979,13.35999966,9.539999723,2.269999981,8.5,5.38499999,-2.460000038,2.419999838,-0.0200001,-10.52999973,-4.409999847,-7.46999979,-21.77999878,-13.75999928,-17.76999903
Lake EC2,47.27551804,56.023333,-74.945,300,1551,16,,1353,,,Radiocarbon years BP,,672,308,651.5,19,26,1592,pollen,Core,27.70000076,20.80000114,24,22.39999962,31.30000114,49.20000076,75.09999847,85.40000153,85.20000458,66.80000305,58.60000229,40.60000229,-29.51000023,-19.97999954,-24.74499989,-19.68000031,-30.5,-25.09000015,-13.43999958,-25.26000023,-19.3499999,-15.17000008,-4.880000114,-10.0250001,-5.21999979,2.829999924,-1.194999933,0.329999983,9.590000153,4.960000068,5.109999657,14.2699995,9.68999958,5.900000095,13.5199995,9.7099998,3.230000019,9.329999924,6.279999971,-1.389999986,3.50999999,1.060000002,-9.899999619,-3.659999847,-6.779999733,-22.04999924,-13.69999981,-17.87499952
Delorme 2,57.70114943,54.423611,-69.929722,538,659,15,1,1346,,,Radiocarbon years BP,,304,251,435,19,31,677,pollen,Core,39.70000076,30.60000038,39.5,35.90000153,45.20000076,72,103.2000046,104.9000015,107.7000046,81.09999847,62.70000076,47.29999924,-30.70999908,-19.29999924,-25.00499916,-17.23999977,-30.12999916,-23.68499947,-9.960000038,-23.70999908,-16.83499956,-13.85999966,-2.129999876,-7.994999766,-4.429999828,4.940000057,0.255000114,2.589999914,12.53999996,7.564999938,7.449999809,16.19000053,11.82000017,7.299999714,15.13999939,11.21999955,3.389999866,10.0199995,6.704999685,-2.180000067,3.389999866,0.6049999,-11.42000008,-4.539999962,-7.980000019,-24.04999924,-14.40999985,-19.22999954
Lac Petel,56.08695652,50.55,-66.266667,270,1826,578,,1346,,,Radiocarbon years BP,,949,258,460,25,35,1890,pollen,Core,72,59.29999924,64.30000305,68.90000153,79.09999847,101,110,99.80000305,110.8000031,99.20000458,92,81.90000153,-25.56999969,-12.84999943,-19.20999956,-11.13999939,-24.13999939,-17.63999939,-5.259999752,-17.04999924,-11.15499949,-8.38999939,0.810000002,-3.789999694,-1.74000001,7.460000038,2.860000014,3.679999828,13.31999969,8.499999762,7.859999657,16.78999901,12.32499933,7.359999657,16.56999969,11.96499968,3.599999905,12.30000019,7.950000048,-1.699999928,5.989999771,2.144999921,-9.719999313,-1.289999962,-5.504999638,-20.38999939,-9.229999542,-14.80999947
Sulphur Lake,50.83743842,60.95,-137.957778,847,2522,90,,1342,,,Radiocarbon years BP,,1217,258,507.5,19,24,2611,pollen,Core,27.70000076,22.5,17.10000038,13.80000019,20.70000076,37,52.29999924,40.20000076,32.70000076,31.30000114,31.20000076,30.89999962,-28.03999901,-15.27999973,-21.65999937,-10.55999947,-24.68999863,-17.62499905,-5.519999981,-20.30999947,-12.91499972,-11.30999947,1.139999986,-5.08499974,-4.829999924,8.059999466,1.614999771,-0.669999957,13.85999966,6.59499985,1.919999957,15.78999996,8.854999959,0.550000012,14.67999935,7.614999682,-3.220000029,9.670000076,3.225000024,-8.090000153,2,-3.045000076,-19.02999878,-7.889999866,-13.45999932,-26.18999863,-14.09999943,-20.14499903
John Klondike Bog,51.41509434,60.356667,-123.646667,460,814,70,,1334,,,Radiocarbon years BP,,1412,109,212,11,13,3149,pollen,Core,17,17.5,18.70000076,19.39999962,41.29999924,69.09999847,80.80000305,65.5,38.90000153,28.39999962,22.70000076,18.39999962,-29.88999939,-20.93000031,-25.40999985,-15.57999992,-27.48999977,-21.53499985,-6.379999638,-20,-13.18999982,-6.909999847,6.589999676,-0.160000086,1.269999981,14.7699995,8.019999743,6.509999752,19.75,13.12999988,9.130000114,21.63999939,15.38499975,7.519999981,19.63999939,13.57999969,3.159999847,14.63000011,8.894999981,-4.670000076,3.869999886,-0.400000095,-19.13999939,-11.11999989,-15.12999964,-27.18000031,-18.60000038,-22.89000034
Sandy Cove Pond,58.11688312,54.4,-57.716667,100,2257,60,,1334,,,Radiocarbon years BP,,1106,179,308,11,16,2337,pollen,Core,92.59999847,79,86.90000153,65.70000458,56.79999924,82.59999847,92,83.40000153,76.70000458,71,78.70000458,89.20000458,-20.57999992,-10.98999977,-15.78499985,-10.15999985,-20.5,-15.32999992,-5.019999981,-15.32999992,-10.17499995,-8.090000153,0.449999988,-3.820000082,-2.319999933,6.159999847,1.919999957,1.99000001,11.98999977,6.98999989,6.230000019,16.73999977,11.4849999,6.779999733,16.39999962,11.58999968,4,12.11999989,8.059999943,-0.399999976,6.029999733,2.814999878,-6.179999828,0.149999991,-3.014999919,-14.80999947,-6.899999619,-10.85499954
Ra Lake,42.9389313,65.233333,-126.416667,330,1953,40,1,1320,,,Radiocarbon years BP,,1020,225,524,12,17,2022,pollen,Core,17.20000076,14.80000019,11.5,12,17.39999962,39.60000229,49.10000229,46.5,24.70000076,20.70000076,14.19999981,14.30000019,-32.47999954,-23.81999969,-28.14999962,-21.70999908,-31.51999855,-26.61499882,-14.71999931,-27.01000023,-20.86499977,-15.11999989,-2.549999952,-8.834999919,-2.119999886,9.13999939,3.509999752,6.329999924,17.76000023,12.04500008,8.849999428,20.23999977,14.5449996,6.21999979,16.77000046,11.49500012,-0.01,8.630000114,4.310000057,-9.159999847,-2.939999819,-6.049999833,-23.76000023,-16.17000008,-19.96500015,-30.03999901,-22.04999924,-26.04499912
Lake CH2,41.67758847,49.683333,-74.583333,830,1549,40,,1316,,,Radiocarbon years BP,,668,159,381.5,21,29,1590,pollen,Core,51.70000076,38,41.5,42.5,68.30000305,100.5999985,114.3000031,107.5999985,121.9000015,85.5,70.5,55.90000153,-24.56999969,-13.38000011,-18.9749999,-11.67000008,-24.02999878,-17.84999943,-4.380000114,-17.25,-10.81500006,-7.849999905,3.769999981,-2.039999962,0.099999994,12.34000015,6.220000073,6.819999695,18.93999863,12.87999916,9.93999958,21.84000015,15.88999987,9.329999924,20.39999962,14.86499977,5.069999695,15.14999962,10.10999966,-0.329999983,7.730000019,3.700000018,-8.039999962,-1,-4.519999981,-19.20999908,-10.30000019,-14.75499964
Lac Patricia,46.875,56.67,-64.68,538,1802,50,,1309,,,Radiocarbon years BP,,930,150,320,11,17,1864,pollen,Core,48.90000153,37.40000153,43.40000153,39,36.20000076,64,97,89.09999847,72.80000305,58.79999924,63,50.5,-28.71999931,-18.75,-23.73499966,-17.51000023,-28.39999962,-22.95499992,-11.71000004,-23.26999855,-17.48999929,-15.25999928,-4.349999905,-9.80499959,-5.789999962,2.809999943,-1.49000001,0.219999999,10.42999935,5.324999675,4.920000076,15.07999992,10,4.369999886,13.59999943,8.984999657,0.310000002,7.989999771,4.149999887,-5.21999979,0.919999957,-2.149999917,-13.46000004,-5.900000095,-9.680000067,-23.36999893,-14.19999981,-18.78499937
