siteName,siteLatitude,siteLongitude,siteAltitude,siteID,depth,thickness,age,ageOld,ageYoung,ageType,chronologyID,taxonPercent,taxonSum,pollenSum,countedInLevel,totalInLevel,datasetID,datasetType,collectionUnitType,collectionUnitHandle,collectionUnitID,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12
Mono Lake,38.00795,-119.0255,1945.0,10369,600.0,,10101.0,10470.0,9707.0,Calibrated radiocarbon years BP,8376,1.3468013468,4.0,297.0,13,17,15778,pollen,Core,MONOLK,11733,134.400009155,121.300003052,112.800003052,64.9000015259,34.9000015259,18.3000011444,11.8000001907,13.6999998093,20.6000003815,45.6000022888,85.3000030518,118.400001526,-11.6499996185,-10.5599994659,-9.23999977112,-6.57999992371,-1.80999994278,2.86999988556,6.64999961853,4.73999977112,-0.610000014305,-5.6299996376,-9.88999938965,-12.0500001907,4.44000005722,5.26999998093,6.17999982834,9.71999931335,16.1499996185,23.8099994659,29.7299995422,27.3099994659,20.5200004578,13.4099998474,6.96000003815,4.46999979019
Mono Lake,38.00795,-119.0255,1945.0,10369,620.0,,10386.0,10758.0,10020.0,Calibrated radiocarbon years BP,8376,0.327868852459,1.0,305.0,16,21,15778,pollen,Core,MONOLK,11733,175.300003052,142.5,113.0,59.2000007629,32.4000015259,18.8000011444,12.9000005722,15.1999998093,22.3000011444,50.5,101.599998474,154.100006104,-10.1799993515,-9.68999958038,-9.39999961853,-7.42999982834,-2.66999983788,2.5,6.67999982834,4.82999992371,-0.669999957085,-5.5499997139,-9.25,-10.7199993134,5.23000001907,5.60999965668,5.90000009537,9.03999996185,15.4600000381,23.4200000763,29.6799983978,27.4899997711,20.8400001526,13.8899993896,7.67999982834,5.38000011444
Mono Lake,38.00795,-119.0255,1945.0,10369,654.0,,10892.0,11200.0,10524.0,Calibrated radiocarbon years BP,8376,2.08333333333,7.0,336.0,18,23,15778,pollen,Core,MONOLK,11733,181.600006104,140.100006104,112.599998474,62.2000007629,36.2000007629,22.3000011444,16.5,21.1000003815,33.0,73.5,135.300003052,178.699996948,-11.5099992752,-10.779999733,-10.0100002289,-7.71000003815,-2.96000003815,1.97999989986,6.00999975204,4.23000001907,-1.06999993324,-5.96999979019,-9.96999931335,-11.8800001144,4.36000013351,4.73999977112,5.10999965668,8.35999965668,14.8800001144,22.9399986267,29.25,27.0699996948,20.3699989319,13.3299999237,7.0,4.56999969482
Mono Lake,38.00795,-119.0255,1945.0,10369,672.0,,11287.0,11756.0,10848.0,Calibrated radiocarbon years BP,8376,0.626959247649,2.0,319.0,20,27,15778,pollen,Core,MONOLK,11733,147.300003052,120.800003052,109.900001526,66.0999984741,39.1000022888,23.3000011444,16.8999996185,21.8000011444,34.4000015259,75.0,127.300003052,150.699996948,-10.3699998856,-9.72999954224,-9.35999965668,-7.48000001907,-3.00999999046,1.79999995232,5.73000001907,3.8599998951,-1.4699999094,-6.13999986649,-9.6799993515,-11.0399999619,5.42999982834,5.86999988556,5.90000009537,8.80000019073,15.1300001144,23.1000003815,29.1999988556,26.6499996185,19.6000003815,12.5999994278,6.77999973297,5.11999988556
Mono Lake,38.00795,-119.0255,1945.0,10369,680.0,,11516.0,12114.0,10983.0,Calibrated radiocarbon years BP,8376,0.66889632107,2.0,299.0,12,15,15778,pollen,Core,MONOLK,11733,133.699996948,111.400001526,94.3000030518,56.2999992371,35.7999992371,23.3000011444,16.6000003815,18.3999996185,23.8000011444,45.9000015259,81.7000045776,118.200004578,-11.5399999619,-10.5999994278,-9.4299993515,-6.81999969482,-1.99000000954,2.83999991417,6.76999998093,4.96000003815,-0.340000003576,-5.35999965668,-9.63000011444,-11.8400001526,4.26999998093,5.17000007629,6.23999977112,9.73999977112,15.8999996185,23.1700000763,28.9300003052,26.6800003052,20.2799987793,13.4399995804,7.01999998093,4.38000011444
Mono Lake,38.00795,-119.0255,1945.0,10369,689.0,,11773.0,12361.0,11199.0,Calibrated radiocarbon years BP,8376,3.64238410596,11.0,302.0,14,21,15778,pollen,Core,MONOLK,11733,111.200004578,107.200004578,129.100006104,76.5,33.4000015259,13.6999998093,8.5,12.4000005722,27.5,80.5,137.199996948,125.300003052,-11.8299999237,-11.1399993896,-10.2100000381,-7.77999973297,-3.0,1.89999997616,6.00999975204,4.48000001907,-0.550000011921,-5.38000011444,-9.60999965668,-11.9200000763,4.46999979019,4.65999984741,4.71000003815,7.73000001907,14.1899995804,22.3299999237,28.75,26.6299991608,19.9699993134,13.0499992371,6.90999984741,4.65999984741
Mono Lake,38.00795,-119.0255,1945.0,10369,710.0,,12365.0,12808.0,11721.0,Calibrated radiocarbon years BP,8376,2.8818443804,10.0,347.0,17,24,15778,pollen,Core,MONOLK,11733,147.400009155,115.800003052,97.4000015259,52.9000015259,28.2000007629,15.6000003815,11.3000001907,15.5,27.6000003815,68.0999984741,124.800003052,151.5,-12.279999733,-11.4899997711,-10.4699993134,-7.88999986649,-2.89999985695,2.19000005722,6.30999994278,4.5499997139,-0.839999973774,-5.94000005722,-10.2600002289,-12.4899997711,3.53999996185,4.28999996185,5.13000011444,8.55000019073,14.8299999237,22.359998703,28.2799987793,26.0199985504,19.4899997711,12.5699996948,6.19000005722,3.64999985695
Mono Lake,38.00795,-119.0255,1945.0,10369,720.0,,12365.0,12808.0,11721.0,Calibrated radiocarbon years BP,8376,4.2904290429,13.0,303.0,15,20,15778,pollen,Core,MONOLK,11733,147.400009155,115.800003052,97.4000015259,52.9000015259,28.2000007629,15.6000003815,11.3000001907,15.5,27.6000003815,68.0999984741,124.800003052,151.5,-12.279999733,-11.4899997711,-10.4699993134,-7.88999986649,-2.89999985695,2.19000005722,6.30999994278,4.5499997139,-0.839999973774,-5.94000005722,-10.2600002289,-12.4899997711,3.53999996185,4.28999996185,5.13000011444,8.55000019073,14.8299999237,22.359998703,28.2799987793,26.0199985504,19.4899997711,12.5699996948,6.19000005722,3.64999985695
Mono Lake,38.00795,-119.0255,1945.0,10369,730.0,,12649.0,12997.0,12050.0,Calibrated radiocarbon years BP,8376,5.5737704918,17.0,305.0,17,24,15778,pollen,Core,MONOLK,11733,112.900001526,99.4000015259,104.599998474,61.2000007629,30.0,14.4000005722,9.80000019073,14.0,28.3999996185,75.8000030518,128.600006104,126.400001526,-13.4200000763,-12.2899999619,-10.6399993896,-7.6299996376,-2.63999986649,2.13999986649,6.03999996185,4.30999994278,-0.889999985695,-6.0499997139,-10.7399997711,-13.4799995422,2.89999985695,3.9399998188,5.15000009537,8.84000015259,15.1899995804,22.6000003815,28.3299999237,25.8699989319,19.1499996185,12.0500001907,5.51999998093,2.90999984741
Mono Lake,38.00795,-119.0255,1945.0,10369,740.0,,12923.0,13577.0,12163.0,Calibrated radiocarbon years BP,8376,17.0,51.0,300.0,17,24,15778,pollen,Core,MONOLK,11733,113.599998474,102.700004578,110.300003052,65.7000045776,32.0,14.9000005722,9.80000019073,13.8000001907,27.3999996185,71.0,120.599998474,123.099998474,-13.5,-12.4699993134,-10.7299995422,-7.69999980927,-2.80999994278,1.81999993324,5.78999996185,4.38999986649,-0.370000004768,-5.30999994278,-10.1300001144,-13.25,3.12999987602,3.72000002861,4.61000013351,8.0999994278,14.4099998474,21.9699993134,28.0900001526,26.1999988556,20.0699996948,13.279999733,6.67000007629,3.64999985695
Mono Lake,38.00795,-119.0255,1945.0,10369,745.0,,13058.0,13949.0,12199.0,Calibrated radiocarbon years BP,8376,20.0657894737,61.0,304.0,18,24,15778,pollen,Core,MONOLK,11733,178.400009155,143.800003052,123.200004578,60.6000022888,27.5,13.1999998093,9.0,12.6000003815,25.7000007629,75.5999984741,154.800003052,185.699996948,-12.6300001144,-11.5999994278,-10.3000001907,-7.61999988556,-2.78999996185,1.97999989986,5.83999967575,3.98000001907,-1.35000002384,-6.39999961853,-10.7199993134,-12.9600000381,3.32999992371,4.17999982834,5.10999965668,8.55000019073,14.779999733,22.1999988556,28.0100002289,25.6800003052,19.1199989319,12.1999998093,5.84999990463,3.3599998951
Mono Lake,38.00795,-119.0255,1945.0,10369,752.0,,13247.0,14469.0,12247.0,Calibrated radiocarbon years BP,8376,0.980392156863,1.0,102.0,12,16,15778,pollen,Core,MONOLK,11733,197.199996948,167.300003052,127.900001526,65.5999984741,35.5,19.8999996185,12.8000001907,13.6999998093,18.3999996185,39.7000007629,84.8000030518,151.300003052,-11.1999998093,-10.4799995422,-9.98999977112,-8.10999965668,-3.79999995232,0.759999990463,4.55999994278,2.75,-2.37999987602,-6.89999961853,-10.4200000763,-11.8499994278,4.30999994278,4.78999996185,5.19000005722,8.13999938965,14.0499992371,21.3899993896,27.3499984741,25.3500003815,19.25,12.7899999619,6.78999996185,4.46000003815
Tulare Lake,36.052,-119.78,55.0,10410,300.0,,9300.0,10122.0,8464.0,Calibrated radiocarbon years BP,8429,0.593471810089,2.0,337.0,25,33,15876,pollen,Core,TULARECA,11785,45.7000007629,54.1000022888,59.7999992371,28.8000011444,8.10000038147,0.800000011921,0.0,0.40000000596,3.5,9.69999980927,20.1000003815,33.0,1.65999996662,3.39999985695,4.50999975204,6.51999998093,10.7100000381,14.4699993134,17.4899997711,15.9499998093,12.8099994659,8.21000003815,3.22000002861,1.26999998093,11.5799999237,14.5399999619,15.9299993515,19.6499996185,25.6499996185,31.9799995422,36.3400001526,34.7099990845,29.9599990845,23.1399993896,16.2600002289,11.6700000763
Tulare Lake,36.052,-119.78,55.0,10410,310.0,,9526.0,10259.0,8780.0,Calibrated radiocarbon years BP,8429,0.890207715134,3.0,337.0,21,28,15876,pollen,Core,TULARECA,11785,44.9000015259,44.2000007629,41.6000022888,19.7000007629,6.30000019073,0.699999988079,0.0,0.5,5.0,14.4000005722,27.6000003815,38.7000007629,1.26999998093,3.32999992371,4.98999977112,7.42999982834,11.779999733,15.4299993515,18.2999992371,16.6299991608,13.3899993896,8.55000019073,3.22000002861,0.930000007153,11.1899995804,14.6999998093,16.8500003815,20.9599990845,26.7699985504,32.469997406,36.3199996948,34.5400009155,29.9200000763,23.1199989319,16.0299987793,11.1799993515
Tulare Lake,36.052,-119.78,55.0,10410,320.0,,9751.0,10482.0,8958.0,Calibrated radiocarbon years BP,8429,2.30547550432,8.0,347.0,23,29,15876,pollen,Core,TULARECA,11785,42.5,45.6000022888,44.7999992371,20.8999996185,6.30000019073,0.600000023842,0.0,0.40000000596,3.5,9.80000019073,20.2000007629,32.5,1.0,2.87999987602,4.40000009537,6.83999967575,11.3699998856,15.3099994659,18.4099998474,16.8400001526,13.5599994659,8.63000011444,3.1899998188,0.799999952316,10.8199996948,14.0199995041,15.8800001144,20.0,26.1599998474,32.4399986267,36.7000007629,35.0200004578,30.2199993134,23.1999988556,15.9699993134,11.0100002289
Tulare Lake,36.052,-119.78,55.0,10410,340.0,,10179.0,10754.0,9583.0,Calibrated radiocarbon years BP,8429,1.81818181818,6.0,330.0,23,29,15876,pollen,Core,TULARECA,11785,52.2000007629,54.0,49.1000022888,24.3000011444,8.60000038147,1.0,0.0,0.600000023842,4.80000019073,11.5,22.1000003815,38.0,1.55999994278,3.47000002861,5.0,7.32999992371,11.5999994278,15.2399997711,18.1999988556,16.7399997711,13.7299995422,9.05999946594,3.74000000954,1.36000001431,11.9399995804,15.1399993896,16.9300003052,20.8099994659,26.5999984741,32.4799995422,36.5799980164,35.0200004578,30.5799999237,23.9200000763,16.9300003052,12.0799999237
Tulare Lake,36.052,-119.78,55.0,10410,360.0,,10530.0,11356.0,9824.0,Calibrated radiocarbon years BP,8429,3.30788804071,13.0,393.0,23,32,15876,pollen,Core,TULARECA,11785,51.7999992371,57.0,55.7000007629,22.6000003815,5.5,0.5,0.0,0.300000011921,2.79999995232,9.30000019073,22.3999996185,38.4000015259,1.14999997616,2.96000003815,4.19999980927,6.40999984741,10.8800001144,14.8800001144,17.9699993134,16.2600002289,12.7899999619,7.8799996376,2.72000002861,0.729999959469,11.0,14.2199993134,15.8899993896,19.8899993896,26.0999984741,32.5200004578,36.7599983215,34.8199996948,29.6700000763,22.5199985504,15.4799995422,10.9299993515
Tulare Lake,36.052,-119.78,55.0,10410,380.0,,10880.0,11893.0,10048.0,Calibrated radiocarbon years BP,8429,4.78873239437,17.0,355.0,23,29,15876,pollen,Core,TULARECA,11785,53.2999992371,48.1000022888,41.0,20.5,7.90000009537,1.10000002384,0.0,0.900000035763,7.30000019073,17.7000007629,31.6000003815,46.2999992371,1.40999996662,3.58999991417,5.10999965668,7.32999992371,11.5099992752,15.029999733,17.6700000763,15.6799993515,12.1499996185,7.32999992371,2.34999990463,0.639999985695,10.9899997711,14.9499998093,17.3799991608,21.6299991608,27.4300003052,32.969997406,36.4199981689,34.0400009155,28.8199996948,21.7299995422,14.7899999619,10.4200000763
